PhoneID	CountryCode	CountryPhoneCode	Phone	Formula	Plain Text After Formula
8	USA	1	(919) 645-2962	(919)+ 645-2962	(919)+ 645-2962
9	USA	1	(919)645-3606	(919)+645-3606	(919)+645-3606
10	USA	1	(919) 555-1212	(919)+ 555-1212	(919)+ 555-1212
11	USA	1	(919) 645-2800	(919)+ 645-2800	(919)+ 645-2800
12	USA	1	(919) 645-2992	(919)+ 645-2992	(919)+ 645-2992
13	USA	1	(919) 564-3333	(919)+ 564-3333	(919)+ 564-3333
14	USA	1	(919) 645-2844	(919)+ 645-2844	(919)+ 645-2844
15	USA	1	(912) 425-0378	(912)+ 425-0378	(912)+ 425-0378
16	USA	1	(863) 409-3197	(863)+ 409-3197	(863)+ 409-3197
17	USA	1	(863) 858-0842	(863)+ 858-0842	(863)+ 858-0842
18	USA	1	(281) 251-7298	(281)+ 251-7298	(281)+ 251-7298
19	USA	1	(574) 209-0942	(574)+ 209-0942	(574)+ 209-0942
20	USA	1	(478) 299-6277	(478)+ 299-6277	(478)+ 299-6277
21	USA	1	(478) 299-5325	(478)+ 299-5325	(478)+ 299-5325
22	USA	1	(518) 925-0459	(518)+ 925-0459	(518)+ 925-0459
23	USA	1	(317) 222-8001	(317)+ 222-8001	(317)+ 222-8001
24	USA	1	(912) 592-2845	(912)+ 592-2845	(912)+ 592-2845
25	USA	1	(773) 627-0409	(773)+ 627-0409	(773)+ 627-0409
26	USA	1	(773) 606-3806	(773)+ 606-3806	(773)+ 606-3806
27	USA	1	(419) 910-0280	(419)+ 910-0280	(419)+ 910-0280
28	USA	1	(419) 910-0399	(419)+ 910-0399	(419)+ 910-0399
29	USA	1	(205) 835-0488	(205)+ 835-0488	(205)+ 835-0488
31	USA	1	(239) 258-7888	(239)+ 258-7888	(239)+ 258-7888
32	USA	1	(239) 321-9843	(239)+ 321-9843	(239)+ 321-9843
33	USA	1	(706) 517-5307	(706)+ 517-5307	(706)+ 517-5307
34	USA	1	(706) 483-9929	(706)+ 483-9929	(706)+ 483-9929
35	USA	1	(410) 733-9334	(410)+ 733-9334	(410)+ 733-9334
36	USA	1	(843) 731-3797	(843)+ 731-3797	(843)+ 731-3797
37	USA	1	(401) 400-9217	(401)+ 400-9217	(401)+ 400-9217
38	USA	1	(434) 294-5039	(434)+ 294-5039	(434)+ 294-5039
39	USA	1	(570) 242-6944	(570)+ 242-6944	(570)+ 242-6944
40	USA	1	(330) 212-4918	(330)+ 212-4918	(330)+ 212-4918
41	USA	1	(865) 244-6485	(865)+ 244-6485	(865)+ 244-6485
42	USA	1	(785) 833-2129	(785)+ 833-2129	(785)+ 833-2129
43	USA	1	(513) 267-4534	(513)+ 267-4534	(513)+ 267-4534
44	USA	1	(864) 346-3852	(864)+ 346-3852	(864)+ 346-3852
45	USA	1	(864) 236-5037	(864)+ 236-5037	(864)+ 236-5037
46	USA	1	(239) 878-6840	(239)+ 878-6840	(239)+ 878-6840
47	USA	1	(815) 526-2481	(815)+ 526-2481	(815)+ 526-2481
48	USA	1	(717) 561-4253	(717)+ 561-4253	(717)+ 561-4253
49	USA	1	(570) 889-1018	(570)+ 889-1018	(570)+ 889-1018
50	USA	1	(570) 889-5965	(570)+ 889-5965	(570)+ 889-5965
51	USA	1	(301) 221-7625	(301)+ 221-7625	(301)+ 221-7625
52	USA	1	(315) 264-4119	(315)+ 264-4119	(315)+ 264-4119
53	USA	1	(315) 264-7274	(315)+ 264-7274	(315)+ 264-7274
54	USA	1	(484) 667-7819	(484)+ 667-7819	(484)+ 667-7819
55	USA	1	(203) 910-0181	(203)+ 910-0181	(203)+ 910-0181
56	USA	1	(260) 609-9935	(260)+ 609-9935	(260)+ 609-9935
57	USA	1	(999) 555-1212	(999)+ 555-1212	(999)+ 555-1212
58	USA	1	(256) 597-2777	(256)+ 597-2777	(256)+ 597-2777
59	USA	1	(423) 883-7228	(423)+ 883-7228	(423)+ 883-7228
60	USA	1	(404) 580-1618	(404)+ 580-1618	(404)+ 580-1618
61	USA	1	(912) 594-1817	(912)+ 594-1817	(912)+ 594-1817
62	USA	1	(912) 253-8998	(912)+ 253-8998	(912)+ 253-8998
63	USA	1	(904) 566-6538	(904)+ 566-6538	(904)+ 566-6538
64	USA	1	(321) 279-9935	(321)+ 279-9935	(321)+ 279-9935
65	USA	1	(267) 475-0600	(267)+ 475-0600	(267)+ 475-0600
66	USA	1	(215) 744-4670	(215)+ 744-4670	(215)+ 744-4670
67	USA	1	(434) 610-0493	(434)+ 610-0493	(434)+ 610-0493
68	USA	1	(260) 729-7813	(260)+ 729-7813	(260)+ 729-7813
69	USA	1	(260) 997-6729	(260)+ 997-6729	(260)+ 997-6729
70	USA	1	(802) 476-8987	(802)+ 476-8987	(802)+ 476-8987
71	USA	1	(413) 244-9976	(413)+ 244-9976	(413)+ 244-9976
72	USA	1	(815) 289-8113	(815)+ 289-8113	(815)+ 289-8113
73	USA	1	(540) 243-1704	(540)+ 243-1704	(540)+ 243-1704
74	USA	1	(540) 483-2335	(540)+ 483-2335	(540)+ 483-2335
75	USA	1	(731) 536-5600	(731)+ 536-5600	(731)+ 536-5600
77	USA	1	(409) 795-8239	(409)+ 795-8239	(409)+ 795-8239
78	USA	1	(717) 273-4259	(717)+ 273-4259	(717)+ 273-4259
79	USA	1	(865) 803-9043	(865)+ 803-9043	(865)+ 803-9043
80	USA	1	(856) 513-6436	(856)+ 513-6436	(856)+ 513-6436
81	USA	1	(330) 808-6361	(330)+ 808-6361	(330)+ 808-6361
82	USA	1	(610) 381-8676	(610)+ 381-8676	(610)+ 381-8676
83	USA	1	(989) 892-1988	(989)+ 892-1988	(989)+ 892-1988
84	USA	1	(937) 585-6411	(937)+ 585-6411	(937)+ 585-6411
85	USA	1	(614) 441-6479	(614)+ 441-6479	(614)+ 441-6479
86	USA	1	(908) 510-6135	(908)+ 510-6135	(908)+ 510-6135
87	USA	1	(240) 529-5025	(240)+ 529-5025	(240)+ 529-5025
88	USA	1	(903) 519-1092	(903)+ 519-1092	(903)+ 519-1092
